ID,y
1,96.22831726
2,111.7613144
3,96.61088562
4,75.9620285
5,112.1925354
8,92.74653625
10,112.2838974
11,94.32339478
12,115.727684
14,94.33375549
15,115.6110764
16,106.090683
17,97.60617828
19,95.52465057
20,104.7728271
21,107.2428589
22,116.304184
23,97.60617828
26,95.7420578
28,93.97618103
29,97.60617828
33,97.60617828
35,93.52590179
41,96.76493073
42,94.21199799
43,115.727684
45,103.3781891
46,102.8553925
51,94.72067261
53,83.28295898
55,113.0069656
56,94.23538208
57,103.3010559
58,94.0189743
59,103.1763916
63,112.0686951
64,94.20124817
65,105.1526413
69,93.70770264
71,94.55311584
72,103.7704163
73,94.38610077
76,103.4208679
77,103.3026123
78,115.9627304
82,94.72067261
83,105.1526413
84,94.60186005
85,103.3026123
87,112.0247498
88,96.76493073
89,112.6331635
91,94.63339233
93,94.2361145
94,103.0655441
95,93.48168945
96,112.1401901
97,92.99208069
98,112.1856308
99,94.2361145
101,103.4791183
103,112.6331635
104,93.76171875
105,112.1003265
110,94.88019562
111,111.7421799
113,112.1925354
114,94.65830231
115,113.0741959
117,112.6331635
120,93.50072479
121,112.6415482
122,92.71141052
123,112.4930878
126,112.360878
132,113.8217392
135,104.9428482
137,104.3242111
138,94.66832733
140,94.11877441
142,111.8630981
144,112.1401901
148,93.0163269
149,112.6415482
155,92.81546783
156,112.502037
157,92.99208069
162,112.3593216
163,94.35272217
167,94.73918915
172,115.727684
179,112.8379745
180,92.1875
181,111.6783218
182,95.44434357
183,112.6331635
185,112.6331635
187,112.4983749
188,94.38610077
189,94.38610077
191,93.76805115
192,111.2244263
193,95.27062988
194,112.1070023
195,93.82195282
196,112.4528503
198,93.58468628
199,112.1401901
201,104.0625763
204,94.65896606
205,106.8920975
206,94.44755554
210,94.72067261
211,103.4791183
216,112.1401901
219,115.727684
220,94.0032196
221,111.6507034
226,111.6783218
227,93.82195282
228,112.1401901
230,112.3490906
231,92.99208069
235,116.304184
236,93.58269501
238,112.3054199
242,103.8146133
243,94.2988205
244,78.12882233
245,114.7619934
247,112.3577652
248,92.99208069
249,94.21199799
250,112.2464371
251,93.58269501
253,116.304184
254,94.1478653
256,95.27062988
257,92.71141052
258,111.3885651
259,94.63339233
262,79.14943695
266,95.39945221
267,112.5271072
272,102.3482742
273,112.6331635
275,93.096138
276,112.2188263
279,94.33375549
280,105.1526413
283,94.06768799
285,112.1401901
288,112.6331635
289,94.59398651
290,104.5482101
291,94.44000244
292,111.9546432
293,112.2607803
296,92.65906525
297,112.5245514
298,116.0166321
299,94.72067261
304,93.58800507
305,79.03783417
306,94.33375549
307,111.9370346
311,108.407692
313,111.7322235
314,94.10262299
316,94.51026154
324,94.44755554
327,93.96811676
329,94.10262299
330,112.3876724
337,104.7935638
338,94.16235352
339,104.3931885
340,94.51026154
343,93.14848328
345,115.6110764
346,93.23157501
347,112.2464371
349,111.6982117
350,93.5490799
352,112.4722061
353,93.94506836
354,77.95419312
357,94.05249023
358,112.651268
362,112.0871582
364,119.0863876
365,102.9674454
366,93.21600342
367,112.5748062
368,94.66832733
370,78.46192169
373,94.0189743
377,93.76805115
378,111.3257828
382,103.4208679
384,112.1401901
390,92.72096252
392,112.1130142
393,112.5601425
395,93.82759094
396,104.9979858
399,78.80950928
406,111.7322235
408,111.7322235
409,94.25101471
410,78.15419006
412,112.0678406
413,92.71141052
419,93.15496826
420,112.6506195
421,92.54016876
430,109.1443634
434,94.72067261
436,94.84483337
437,94.3878479
438,93.14848328
439,111.9708481
440,94.35272217
443,112.6618958
446,94.65896606
448,93.6819458
452,94.44755554
453,103.3549576
457,104.0625763
458,94.67739868
459,113.4537125
460,103.1377258
462,103.3625107
464,103.2487106
465,115.727684
467,116.7652054
471,112.5076447
472,77.8365097
473,94.59371948
475,94.65896606
480,94.18376923
488,110.8405533
490,111.9370346
491,102.6761475
492,78.92684937
493,94.69057465
497,93.21387482
498,112.3577652
499,93.57824707
500,102.2293396
501,95.01197052
502,112.0278015
506,82.93802643
510,112.0722961
511,93.82195282
512,93.82195282
516,93.37332153
518,93.37473297
519,112.1925354
521,92.7984314
522,112.5335846
526,112.1242905
529,94.19641876
532,112.2464371
533,93.40127563
536,112.173645
537,103.1672287
539,94.44000244
540,102.6761475
541,94.33375549
543,94.72067261
546,112.6938934
547,92.61003876
548,80.20678711
551,93.88761139
552,103.6269531
556,103.5832825
557,94.80155945
558,112.5748062
